"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se"
"11",2,54.7500224336523,11.57992,2.22465683398559,0.801,5000,0,0,1.37,0.501,0.191,365,8.54617991687884,130,7.179,1,156.803138349412,3.048746,0.477491773512239,116.794670098444,10,-56.7616746615108,0.113520582025477
"12",2,54.9436137137034,11.57992,2.65114980095318,0.801,5000,0,0,1.37,0.501,0.191,365,8.79316424926003,130,7.179,1,222.837951615576,3.048746,0.474418508639718,117.178786416499,10,-56.8252029288363,0.104283035505827
"13",2,39.6709708521004,11.57992,2.32348318912173,0.801,5000,0,0,1.37,0.501,0.191,365,11.4791638882798,130,7.179,1,103.598003920863,3.048746,0.198261849348282,88.8574554066099,20,-56.9280141156181,0.0405051181790869
"14",2,61.9950411680434,11.57992,1.66958113392337,0.801,5000,0,0,1.37,0.501,0.191,365,7.88504095467282,130,7.179,1,100.228963470946,3.048746,0.254173877525174,158.340221414811,20,-56.9363112038748,0.0512406323971575
"15",2,46.3247898879759,11.57992,2.07307292438598,0.801,5000,0,0,1.37,0.501,0.191,365,10.2831390573277,130,7.179,1,108.554938510107,3.048746,0.290427761209461,97.0792076706246,15,-56.9536009820467,0.0941465244622143
"16",2,66.2827904222419,11.57992,2.91091323760818,0.801,5000,0,0,1.37,0.501,0.191,365,7.53005891767237,130,7.179,1,343.009758513901,3.048746,0.210879636427551,160.175852132108,25,-57.0018636017756,0.0954411542874969
"17",2,38.5919439800676,11.57992,2.22975584973476,0.801,5000,0,0,1.37,0.501,0.191,365,11.6846101948069,130,7.179,1,91.1588278872563,3.048746,0.264839295287623,119.402105184521,15,-57.0401940167173,0.0437750653838033
"18",2,34.4154193343742,11.57992,3.3793757144481,0.801,5000,0,0,1.37,0.501,0.191,365,12.8331195335413,130,7.179,1,189.392115127505,3.048746,0.37464660744273,106.715611558555,10,-57.0905668176401,0.159389410243977
"19",2,55.0712348003453,11.57992,1.88334365895809,0.801,5000,0,0,1.37,0.501,0.191,365,8.63679822807229,130,7.179,1,106.251349844042,3.048746,0.191022957009731,171.202321346461,25,-57.1995333753124,0.107685051942162
"20",2,48.0823134503297,11.57992,3.17870821565642,0.801,5000,0,0,1.37,0.501,0.191,365,9.71882743039928,130,7.179,1,246.48445377273,3.048746,0.215699828330033,159.349208380815,20,-57.2871602433934,0.0681126961336901
"21",2,59.4578616665492,11.57992,2.60217870630035,0.801,5000,0,0,1.37,0.501,0.191,365,8.19539220663361,130,7.179,1,245.718964149844,3.048746,0.502434564063006,255.757081291,10,-57.3299724846145,0.0776863095003445
"22",2,96.2243375602587,11.57992,2.09632375738807,0.801,5000,0,0,1.37,0.501,0.191,365,5.57879147503566,130,7.179,1,321.307595037885,3.048746,0.675242645948064,246.873497682336,10,-57.3645335431181,0.126763587128775
"23",2,53.3752079222885,11.57992,1.84797141520942,0.801,5000,0,0,1.37,0.501,0.191,365,8.84848108160932,130,7.179,1,106.649942023253,3.048746,0.235822348080661,173.55475945969,20,-57.3711187709966,0.106171951630785
"24",2,52.6919574907741,11.57992,2.42197057222232,0.801,5000,0,0,1.37,0.501,0.191,365,8.74261361736601,130,7.179,1,178.730618018825,3.048746,0.187444890673278,158.576309407947,25,-57.4174060026094,0.119260505974215
"25",2,61.7617392760438,11.57992,1.89031127147899,0.801,5000,0,0,1.37,0.501,0.191,365,8.12285999901622,130,7.179,1,126.176789915367,3.048746,0.245879016423913,142.747444886432,20,-57.4202237484537,0.0856311638775561
"26",2,62.3732588344375,11.57992,1.81171902949387,0.801,5000,0,0,1.37,0.501,0.191,365,7.97443415528751,130,7.179,1,123.611712550256,3.048746,0.249849051782613,134.58201823686,20,-57.5040207792465,0.0923424776434161
"27",2,57.1725167170087,11.57992,3.02431682855561,0.801,5000,0,0,1.37,0.501,0.191,365,8.22102756530896,130,7.179,1,341.992196724126,3.048746,0.248578326009416,172.4158818074,20,-57.5334417835235,0.090461523493743
"28",2,42.078485421614,11.57992,2.14757677077939,0.801,5000,0,0,1.37,0.501,0.191,365,11.048397322377,130,7.179,1,100.02967948853,3.048746,0.276704140616084,146.263321786642,15,-57.5446423583834,0.0650656726153788
"29",2,48.6957130924922,11.57992,3.29045887850968,0.801,5000,0,0,1.37,0.501,0.191,365,9.54354918424589,130,7.179,1,282.236408885425,3.048746,0.439798294718893,184.090607368514,10,-57.5704440085042,0.0727241365899084
"30",2,44.2459809563963,11.57992,2.43004382293304,0.801,5000,0,0,1.37,0.501,0.191,365,10.2915427780953,130,7.179,1,139.625422810796,3.048746,0.280092888513708,146.481127951991,15,-57.6198028606467,0.078149311760004
"31",2,54.7992976775291,11.57992,2.38895113977943,0.801,5000,0,0,1.37,0.501,0.191,365,8.74316776332841,130,7.179,1,172.52206794287,3.048746,0.185431624687045,196.286849854056,25,-57.6242414320069,0.0983455161754987
