,model_type,R0,gamma_val,omega_val,omega_m_val,kappa_val,rho_val,epsilon_val,mu_val,mj_val,m_val,delta_t,c,s,phi mod pi,phi,c_v,s_v,phi_v,zeta,disp,d,loglik,loglik.se
46,1,6.046486414,17.37591147,0,0.801,5000,0,0,1.37,0.5,0.187,365,9.616138151,214.6517448,0.897814693,7.181,1,13.67329312,0.923512476,0.145742586,17.69985477,18.83667421,-58.52380026,0.006535653
47,1,3.300021898,19.08057392,0,0.801,5000,0,0,1.37,0.5,0.187,365,6.586432072,74.58689212,0.897814693,7.181,1,17.22021271,0.891250598,0.206080388,19.09876882,12.69071434,-58.8125171,0.011453605
48,1,4.787599324,21.0544682,0,0.801,5000,0,0,1.37,0.5,0.187,365,12.78853563,147.9622633,0.897814693,7.181,1,20.4350886,1.031493223,0.160332066,15.08794125,10.73527063,-58.92981518,0.001214478
49,1,8.225069082,13.38913193,0,0.801,5000,0,0,1.37,0.5,0.187,365,10.72860209,216.3999969,0.897814693,7.181,1,3.742420775,0.987718032,0.519457555,45.39016428,7.439707643,-58.95118555,0.018295507
50,1,4.790833803,23.3532702,0,0.801,5000,0,0,1.37,0.5,0.187,365,15.15662136,267.3709912,0.897814693,7.181,1,29.3895463,1.019810223,0.628507562,15.08854924,2.784166221,-59.18607698,0.003895839
51,1,8.650083887,24.68593332,0,0.801,5000,0,0,1.37,0.5,0.187,365,4.397463419,154.3952016,0.897814693,7.181,1,34.96406045,0.90224783,0.209275119,17.55616108,17.48134235,-59.49567903,0.004870216
52,1,2.678517614,23.02310502,0,0.801,5000,0,0,1.37,0.5,0.187,365,8.850272889,363.7867152,0.897814693,7.181,1,29.05920022,0.840584671,0.77533651,23.0294983,4.70449128,-59.81110511,0.013305604
53,1,18.5297988,26.75796163,0,0.801,5000,0,0,1.37,0.5,0.187,365,32.29483805,78.4337345,0.897814693,7.181,1,16.7667877,1.161900835,0.275707628,14.31507806,3.731721452,-59.85389303,0.001919772
54,1,3.368799396,15.98733998,0,0.801,5000,0,0,1.37,0.5,0.187,365,6.290998341,129.1585297,0.897814693,7.181,1,9.527624051,0.856097263,0.40296154,78.85209015,9.881015961,-61.41630946,0.023366609
55,1,4.80021544,13.43040398,0,0.801,5000,0,0,1.37,0.5,0.187,365,9.001941373,119.472599,0.897814693,7.181,1,3.970111148,0.944238691,0.305356497,114.9817366,12.57670198,-61.54742882,0.026743581
56,1,14.45123734,15.01986867,0,0.801,5000,0,0,1.37,0.5,0.187,365,5.546884592,216.8495185,0.897814693,7.181,1,7.348663988,0.916249631,0.621385612,106.0052405,7.324572908,-61.68038944,0.021906543
57,1,7.667414714,23.25848402,0,0.801,5000,0,0,1.37,0.5,0.187,365,3.389103916,118.8232511,0.897814693,7.181,1,23.46317435,0.825194948,0.38287302,54.80478377,12.99272407,-61.80719617,0.018147525
58,1,6.116012,13.84332385,0,0.801,5000,0,0,1.37,0.5,0.187,365,6.737517632,174.575316,0.897814693,7.181,1,5.474923014,0.866269867,0.782307844,211.8537995,6.828047895,-63.12727591,0.102412791
59,1,3.011362415,16.41145867,0,0.801,5000,0,0,1.37,0.5,0.187,365,8.562639907,157.3371964,0.897814693,7.181,1,7.864046632,0.833055392,0.449220179,193.4294182,8.922673733,-63.46903715,0.051017159
