"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se","comment"
"46",2,58.20938884,17.06965155,17.36707907,0.801,5000,0,0,1.37,0.501,0.191,365,34.09948611,71.15586379,8.197537729,1,457.7320217,3.3214532,0.313679085,546.2138563,11.6218606,-79.26306186,0.020155569,"Phi not fixed IF"
"47",2,74.64192685,15.2874035,12.53810534,0.801,5000,0,0,1.37,0.501,0.191,365,48.89426006,234.5452286,8.217611688,1,269.6325869,3.31716221,0.739699299,1575.456341,4.288673104,-79.29658314,0.025346942,"Phi not fixed IF"
"48",2,52.1729624,17.42448257,15.70539455,0.801,5000,0,0,1.37,0.501,0.191,365,25.02751484,37.16919763,8.185241258,1,293.7527685,3.329809334,0.293179824,663.272457,11.71118532,-80.45219596,0.005829615,"Phi not fixed IF"
"49",2,47.05792444,17.35118572,17.06945898,0.801,5000,0,0,1.37,0.501,0.191,365,46.82244836,108.4208774,1.926499898,1,409.2464544,3.319450754,0.66028594,1324.284505,5.356924624,-80.67218828,0.010288579,"Phi not fixed IF"
"50",2,127.7995471,15.42188225,15.22124867,0.801,5000,0,0,1.37,0.501,0.191,365,22.44533041,113.7574646,5.055572688,1,781.0626951,3.297165786,0.603419177,515.9835234,6.818709133,-85.35812964,0.015128475,"Phi not fixed IF"
"51",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.2375,91.05989703,6.046875,-56.42399194,0.022117378,"Evaluating likhood for d-zeta, profile, set 1"
"52",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.6375,91.05989703,15.546875,-422.7566177,0.330674416,"Evaluating likhood for d-zeta, profile, set 1"
"53",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.8375,91.05989703,1.296875,-54.64520573,0.007033482,"Evaluating likhood for d-zeta, profile, set 1"
"54",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.4375,91.05989703,10.796875,-185.096609,0.097659399,"Evaluating likhood for d-zeta, profile, set 1"
"55",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.5375,91.05989703,3.671875,-69.36994191,0.028123958,"Evaluating likhood for d-zeta, profile, set 1"
"56",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.9375,91.05989703,13.171875,-523.3646957,0.378224723,"Evaluating likhood for d-zeta, profile, set 1"
"57",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.7375,91.05989703,8.421875,-262.8573886,0.279973427,"Evaluating likhood for d-zeta, profile, set 1"
"58",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.3375,91.05989703,17.921875,-245.5099479,0.186568967,"Evaluating likhood for d-zeta, profile, set 1"
"59",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.3875,91.05989703,2.484375,-55.80494992,0.010348663,"Evaluating likhood for d-zeta, profile, set 1"
"60",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.7875,91.05989703,11.984375,-408.036537,0.43689817,"Evaluating likhood for d-zeta, profile, set 1"
"61",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.9875,91.05989703,7.234375,-313.7882473,0.227837058,"Evaluating likhood for d-zeta, profile, set 1"
"62",2,27.43327475,8.33733729,12.73697917,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447152,76.83290725,7.955617708,1,60.87918974,3.170673821,0.5875,91.05989703,16.734375,-418.3785385,0.212847947,"Evaluating likhood for d-zeta, profile, set 1"
